assembly_accession	country_iso3	year	prn_call	prn_interpretable	prn_disrupted
GCA_001332875.1	GBR	1920	partial	False	False
GCA_001332855.1	GBR	1942	partial	False	False
GCA_001332835.1	GBR	1946	intact	True	False
GCA_001332795.1	GBR	1947	partial	False	False
GCA_001332775.1	GBR	1949	partial	False	False
GCA_001333415.1	GBR	1967	partial	False	False
GCA_001333475.1	GBR	1979	partial	False	False
GCA_001333315.1	GBR	1982	partial	False	False
GCA_001333335.1	GBR	1982	intact	True	False
GCA_001333235.1	GBR	1983	partial	False	False
GCA_001333255.1	GBR	1998	intact	True	False
GCA_001333275.1	GBR	2001	partial	False	False
GCA_001333295.1	GBR	2003	partial	False	False
GCA_001207095.1	JPN	1988	disrupted_multi_hsp	True	True
GCA_001194565.1	JPN	1991	intact	True	False
GCA_001333055.1	JPN	1991	partial	False	False
GCA_001333615.1	JPN	1995	partial	False	False
GCA_001205915.1	JPN	1996	disrupted_multi_hsp	True	True
GCA_001211945.1	JPN	1998	partial	False	False
GCA_001194225.1	JPN	1999	intact	True	False
GCA_001333595.1	JPN	1999	partial	False	False
GCA_001333575.1	JPN	2001	partial	False	False
GCA_001201595.1	JPN	2002	partial	False	False
GCA_001333555.1	JPN	2003	disrupted_multi_hsp	True	True
GCA_001210485.1	JPN	2004	partial	False	False
GCA_001333535.1	JPN	2004	disrupted_multi_hsp	True	True
GCA_001202495.1	JPN	2006	intact	True	False
GCA_001202375.1	JPN	2007	disrupted_multi_hsp	True	True
GCA_001208145.1	AUS	NA	disrupted_multi_hsp	True	True
GCA_001331755.1	AUS	NA	disrupted_multi_hsp	True	True
GCA_001193155.1	AUS	1971	disrupted_multi_hsp	True	True
GCA_001210185.1	AUS	1971	intact	True	False
GCA_001333815.1	AUS	1974	intact	True	False
GCA_001203935.1	AUS	1977	disrupted_multi_hsp	True	True
GCA_001333795.1	AUS	1977	intact	True	False
GCA_001201635.1	AUS	1978	disrupted_multi_hsp	True	True
GCA_001333675.1	AUS	1982	partial	False	False
GCA_001212045.1	AUS	1989	partial	False	False
GCA_001333435.1	AUS	1989	disrupted_multi_hsp	True	True
GCA_001333715.1	AUS	1989	partial	False	False
GCA_001333915.1	AUS	1989	disrupted_multi_hsp	True	True
GCA_001333935.1	AUS	1990	disrupted_multi_hsp	True	True
GCA_001195265.1	AUS	1995	disrupted_multi_hsp	True	True
GCA_001206895.1	AUS	1995	intact	True	False
GCA_001333375.1	AUS	1995	disrupted_multi_hsp	True	True
GCA_001333695.1	AUS	1996	intact	True	False
GCA_001203115.1	AUS	1997	disrupted_multi_hsp	True	True
GCA_001333775.1	AUS	1997	intact	True	False
GCA_001333835.1	AUS	1997	disrupted_multi_hsp	True	True
GCA_001193855.1	AUS	1998	disrupted_multi_hsp	True	True
