comparison_id	country_iso3	country_name	epoch_slot	epoch_id	epoch_label	block_id	block_level	block_total_samples	block_interpretable_samples	block_disrupted_samples	block_total_share	block_interpretable_share	block_disrupted_share	block_is_dominant
AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	next	aus_ap_with_prn	All-dose acellular era with PRN exposure	PRJEB2274	bioproject_accession	12	10	5	0.3157894736842105	0.4	0.625	True
AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	next	aus_ap_with_prn	All-dose acellular era with PRN exposure	PRJNA432286	study_accession	10	1	0	0.2631578947368421	0.04	0.0	False
AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	next	aus_ap_with_prn	All-dose acellular era with PRN exposure	PRJNA562796	study_accession	10	8	0	0.2631578947368421	0.32	0.0	False
AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	next	aus_ap_with_prn	All-dose acellular era with PRN exposure	PRJNA695314	bioproject_accession	3	3	1	0.07894736842105263	0.12	0.125	False
AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	next	aus_ap_with_prn	All-dose acellular era with PRN exposure	PRJNA1178746	bioproject_accession	2	2	2	0.05263157894736842	0.08	0.25	False
AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	next	aus_ap_with_prn	All-dose acellular era with PRN exposure	PRJNA390469	bioproject_accession	1	1	0	0.02631578947368421	0.04	0.0	False
AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	previous	aus_wp_only	Whole-cell era	PRJEB2274	bioproject_accession	16	13	8	1.0	1.0	1.0	True
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	next	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	20	0	0	0.38461538461538464	0.0	0.0	True
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	next	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB37898	study_accession	12	10	0	0.23076923076923078	0.35714285714285715	0.0	False
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	next	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB35593	bioproject_accession	8	8	2	0.15384615384615385	0.2857142857142857	1.0	False
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	next	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB7578	bioproject_accession	8	8	0	0.15384615384615385	0.2857142857142857	0.0	False
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	next	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20292	study_accession	2	0	0	0.038461538461538464	0.0	0.0	False
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	next	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB34249	study_accession	2	2	0	0.038461538461538464	0.07142857142857142	0.0	False
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	previous	jpn_pre2012_mixed_ap	Historical acellular era with mixed PRN exposure	PRJEB2274	bioproject_accession	15	8	5	0.5	0.34782608695652173	1.0	True
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	previous	jpn_pre2012_mixed_ap	Historical acellular era with mixed PRN exposure	PRJEB18624	study_accession	12	12	0	0.4	0.5217391304347826	0.0	False
JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	previous	jpn_pre2012_mixed_ap	Historical acellular era with mixed PRN exposure	PRJDB7578	bioproject_accession	3	3	0	0.1	0.13043478260869565	0.0	False
NZL:nzl_wp_only->nzl_ap_with_prn	NZL	New Zealand	next	nzl_ap_with_prn	Acellular schedule era with PRN-containing products	PRJNA556977	bioproject_accession	51	51	23	1.0	1.0	1.0	True
NZL:nzl_wp_only->nzl_ap_with_prn	NZL	New Zealand	previous	nzl_wp_only	Long whole-cell schedule era	PRJNA556977	bioproject_accession	12	12	0	1.0	1.0		True
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	PRJNA279196	bioproject_accession	845	825	500	0.9194776931447225	0.9207589285714286	0.9505703422053232	True
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	PRJNA266616	bioproject_accession	35	35	13	0.03808487486398259	0.0390625	0.024714828897338403	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	PRJEB2274	bioproject_accession	16	13	6	0.017410228509249184	0.014508928571428572	0.011406844106463879	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	PRJNA1215303	bioproject_accession	2	2	0	0.002176278563656148	0.002232142857142857	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	PRJNA998821	bioproject_accession	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN02470082	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867627	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867628	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867629	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867630	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867631	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
