sample_id_canonical	assembly_accession	country	year	source_database	assembly_level	n_contigs	total_sequence_length	gc_percent	contig_n50
SAMN02470861	GCA_000193515.2			SOURCE_DATABASE_GENBANK	Contig	448	3812121	68.0	14869
SAMN02470862	GCA_000193535.2			SOURCE_DATABASE_GENBANK	Contig	404	3813940	68.0	15745
SAMN02470859	GCA_000193555.2			SOURCE_DATABASE_GENBANK	Contig	627	3819741	68.0	19367
SAMN02470860	GCA_000193575.2			SOURCE_DATABASE_GENBANK	Contig	371	3792615	68.0	19037
SAMN02470863	GCA_000193595.3			SOURCE_DATABASE_GENBANK	Complete Genome	1	4102186	67.5	4102186
SAMN02470864	GCA_000193615.3			SOURCE_DATABASE_GENBANK	Complete Genome	1	4114630	67.5	4114630
SAMEA1705933	GCA_000195715.1			SOURCE_DATABASE_GENBANK	Complete Genome	1	4086189	67.5	4086189
SAMN02603647	GCA_000212975.1			SOURCE_DATABASE_GENBANK	Complete Genome	1	4124236	67.5	4124236
SAMEA2272749	GCA_000306945.1			SOURCE_DATABASE_GENBANK	Complete Genome	1	4043846	67.5	4043846
SAMN02436246	GCA_000479395.2			SOURCE_DATABASE_GENBANK	Contig	63	4047567	67.5	102522
SAMN02436245	GCA_000479415.2			SOURCE_DATABASE_GENBANK	Contig	95	4029822	68.0	74009
SAMN02436199	GCA_000479435.2			SOURCE_DATABASE_GENBANK	Contig	138	3844206	68.0	46158
SAMN02436247	GCA_000479455.2			SOURCE_DATABASE_GENBANK	Contig	173	3938674	68.0	36602
SAMN02436299	GCA_000479475.2			SOURCE_DATABASE_GENBANK	Contig	60	4073712	67.5	150397
SAMN02436207	GCA_000479495.2			SOURCE_DATABASE_GENBANK	Contig	48	4064081	67.5	164785
SAMN02436201	GCA_000479515.2			SOURCE_DATABASE_GENBANK	Contig	46	4057285	67.5	189616
SAMN02436205	GCA_000479535.2			SOURCE_DATABASE_GENBANK	Contig	33	4045246	68.0	266526
SAMN02436200	GCA_000479555.2			SOURCE_DATABASE_GENBANK	Contig	65	4044283	68.0	134387
SAMN02436203	GCA_000479575.2			SOURCE_DATABASE_GENBANK	Contig	43	4018810	67.5	177196
SAMN02436202	GCA_000479595.2			SOURCE_DATABASE_GENBANK	Contig	62	4014250	68.0	112367
SAMN02436206	GCA_000479615.2			SOURCE_DATABASE_GENBANK	Contig	121	3839596	68.0	52170
SAMN02436302	GCA_000479635.2			SOURCE_DATABASE_GENBANK	Contig	285	3940180	68.0	20908
SAMN02436301	GCA_000479655.2			SOURCE_DATABASE_GENBANK	Contig	179	3907019	68.0	31198
SAMN02436248	GCA_000479675.2			SOURCE_DATABASE_GENBANK	Contig	26	4053851	68.0	343155
SAMN02436300	GCA_000479695.2			SOURCE_DATABASE_GENBANK	Contig	25	4083349	67.5	419274
SAMN02436249	GCA_000479715.2			SOURCE_DATABASE_GENBANK	Contig	49	4028419	68.0	139362
SAMN02436204	GCA_000479735.2			SOURCE_DATABASE_GENBANK	Contig	193	3904605	68.0	33462
SAMN02436243	GCA_000479755.2			SOURCE_DATABASE_GENBANK	Contig	108	4050203	68.0	45197
SAMN02436242	GCA_000479775.2			SOURCE_DATABASE_GENBANK	Contig	127	4051572	68.0	43391
SAMN02436297	GCA_000479795.2			SOURCE_DATABASE_GENBANK	Contig	124	3834602	68.0	50507
SAMN02436298	GCA_000479815.2			SOURCE_DATABASE_GENBANK	Contig	56	4027480	68.0	115723
SAMN02436196	GCA_000479835.2			SOURCE_DATABASE_GENBANK	Contig	120	4150262	67.5	52255
SAMN02436296	GCA_000479855.2			SOURCE_DATABASE_GENBANK	Contig	37	4065443	67.5	222972
SAMN02436303	GCA_000479875.2			SOURCE_DATABASE_GENBANK	Contig	149	3855042	68.0	46159
SAMN02436197	GCA_000479895.2			SOURCE_DATABASE_GENBANK	Contig	54	4033849	68.0	122855
SAMN02436244	GCA_000479915.2			SOURCE_DATABASE_GENBANK	Contig	131	3828499	68.0	46140
SAMN02436198	GCA_000479935.2			SOURCE_DATABASE_GENBANK	Contig	41	4045408	68.0	264509
SAMN02470082	GCA_000504325.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Contig	61	4040496	68.0	116831
SAMN02614590	GCA_000662235.1	USA	1935.0	SOURCE_DATABASE_GENBANK	Contig	207	4120162	67.5	30911
SAMN02614586	GCA_000662295.1	missing		SOURCE_DATABASE_GENBANK	Contig	279	4048974	67.5	22861
SAMN02360353	GCA_000812165.1			SOURCE_DATABASE_GENBANK	Complete Genome	1	4134593	67.5	4134593
SAMEA3354379	GCA_001013565.1			SOURCE_DATABASE_GENBANK	Complete Genome	1	4106389	67.5	4106389
SAMN03784877	GCA_001187405.1	Italy	2014.0	SOURCE_DATABASE_GENBANK	Scaffold	322	3876671	68.0	20184
SAMEA1931747	GCA_001191795.1	Netherlands	1988.0	SOURCE_DATABASE_GENBANK	Scaffold	1080	3710199	67.5	6585
SAMEA751503	GCA_001192115.1	Taiwan	1992.0	SOURCE_DATABASE_GENBANK	Scaffold	1370	3591605	67.5	4642
SAMEA1931867	GCA_001192135.1	Netherlands	1977.0	SOURCE_DATABASE_GENBANK	Scaffold	1413	3633568	67.5	4592
SAMEA751366	GCA_001192455.1	Netherlands	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	757	3769714	68.0	8198
SAMEA1986112	GCA_001192535.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	904	3759751	67.5	7527
SAMEA751509	GCA_001193155.1	Australia	1971.0	SOURCE_DATABASE_GENBANK	Scaffold	742	3789469	68.0	8426
SAMEA751250	GCA_001193455.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	701	3773397	68.0	9051
SAMEA751169	GCA_001193515.1	USA	1977.0	SOURCE_DATABASE_GENBANK	Scaffold	507	3805077	68.0	11985
SAMEA751353	GCA_001193835.1	France	1993.0	SOURCE_DATABASE_GENBANK	Scaffold	901	3708325	68.0	7448
