sample_id_canonical	biosample_accession	assembly_accession	sra_run_accession	country_iso3	year	mlst_st	phylo_lineage	prn_call_initial	prn_mechanism_call	prn_call_confidence	prn_event_id	prn_query_cov_pct	prn_best_single_cov_pct	prn_hsp_n	bp_category	insertion_subject_gap_bp	is_element_best_hit	is_element_best_hit_pident	is_element_best_hit_qcov	read_validation_status	read_validation_support	evidence_flags	notes
SAMD00046894	SAMD00046894	GCA_001598615.1				NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00328237	SAMD00328237	GCA_019974435.1		JPN	2018	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00549575	SAMD00549575	GCA_026001265.1		JPN	2018	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00570813	SAMD00570813	GCA_055380295.1		JPN	2020	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00885979	SAMD00885979	GCA_054658115.1		JPN	2024	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00885980	SAMD00885980	GCA_054658095.1		JPN	2024	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00892034	SAMD00892034	GCA_054656595.1		JPN	2024	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00892035	SAMD00892035	GCA_054656535.1		JPN	2025	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00892036	SAMD00892036	GCA_054656515.1		JPN	2025	NA		disrupted_multi_hsp	uncertain_fragmented_assembly	rule_low	prn_evt_fragmented_contigs	100.00	91.26	2	fragmented_contigs	NA				not_run	not_evaluated	bp_fragmentation_signal;disrupted_multi_hsp	confidence_is_pre_prn04_rule_tier
SAMD00892037	SAMD00892037	GCA_054656475.1		JPN	2025	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00892038	SAMD00892038	GCA_054656415.1		JPN	2025	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
SAMD00892039	SAMD00892039	GCA_054656375.1		JPN	2025	NA		intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier
