analysis_layer	family_key	family_label	plot_group	display_order	sample_id_canonical	parent_sample_id	prn_event_id	prn_mechanism_call	read_validation_status	read_support_class	targeted_locus_assembly_status	recovery_plan_status	recovery_run_compatibility	recovery_library_layout	recovery_instrument_platform	recovery_download_strategy	followup_class	recommended_action	status_bucket	compatibility_state	count_in_total_denominator	count_in_resolved_denominator	count_as_recovered	count_as_true_nonrecovery	count_as_compatibility_excluded	downsample_fraction_label	downsample_fraction	downsample_replicate	downsample_seed	downsample_n_read_pairs_total	downsample_n_read_pairs_retained	downsample_n_bam_records_retained	downsample_reads_1_path	downsample_reads_2_path	downsample_bam_path	validation_method	validator_version	source_notes	validation_notes	run_status	source_file	notes
empirical	insufficient_data	Insufficient data	context	6	SAMN07327524		prn_evt_insufficient__partial	insufficient_data	no_prn_is_signal_detected	no_prn_local_is_signal	partial_prn_alignment								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	step3_source_accession=GCF_002240515.1;prn04_rule=partial_prn_alignment_no_structural_upgrade	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=insufficient_evidence;evidence_flags=mapped_from_legacy_mirror_or_alt_accession;no_step4_structural_upgrade;partial_prn_call;upstream_notes=step3_source_accession=GCF_002240515.1;prn04_rule=partial_prn_alignment_no_structural_upgrade;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	insufficient_data	Insufficient data	context	6	SAMN12523755		prn_evt_insufficient__missing_fasta	insufficient_data	supported_candidate	is481_ismapper_only	assembly_sequence_missing								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=assembly_sequence_unavailable	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=insufficient_evidence;evidence_flags=assembly_sequence_unavailable;missing_fasta;upstream_notes=prn04_rule=assembly_sequence_unavailable;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=1;primary_hit=ismapper,IS481,1099625,1099710	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_candidate;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	insufficient_data	Insufficient data	context	6	SAMN14488178		prn_evt_insufficient__missing_fasta	insufficient_data	supported_candidate	is481_ismapper_only	assembly_sequence_missing								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=assembly_sequence_unavailable	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=insufficient_evidence;evidence_flags=assembly_sequence_unavailable;missing_fasta;upstream_notes=prn04_rule=assembly_sequence_unavailable;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=2;primary_hit=ismapper,IS481,1098332,1098335	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_candidate;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	insufficient_data	Insufficient data	context	6	SAMN14488213		prn_evt_insufficient__missing_fasta	insufficient_data	supported_concordant	is481_ismapper_panisa	assembly_sequence_missing								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=assembly_sequence_unavailable	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=insufficient_evidence;evidence_flags=assembly_sequence_unavailable;missing_fasta;upstream_notes=prn04_rule=assembly_sequence_unavailable;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=2;primary_hit=ismapper,IS481,1099682,1099688	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_concordant;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	insufficient_data	Insufficient data	context	6	SAMN14488222		prn_evt_insufficient__missing_fasta	insufficient_data	supported_candidate	is481_ismapper_only	assembly_sequence_missing								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=assembly_sequence_unavailable	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=insufficient_evidence;evidence_flags=assembly_sequence_unavailable;missing_fasta;upstream_notes=prn04_rule=assembly_sequence_unavailable;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=1;primary_hit=ismapper,IS481,1099682,1099688	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_candidate;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	insufficient_data	Insufficient data	context	6	SAMN14488227		prn_evt_insufficient__missing_fasta	insufficient_data	supported_candidate	is481_ismapper_only	assembly_sequence_missing								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=assembly_sequence_unavailable	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=insufficient_evidence;evidence_flags=assembly_sequence_unavailable;missing_fasta;upstream_notes=prn04_rule=assembly_sequence_unavailable;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=1;primary_hit=ismapper,IS481,1099671,1099682	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_candidate;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	insufficient_data	Insufficient data	context	6	SAMEA751172		prn_evt_insufficient__not_available_current_step3	insufficient_data	no_prn_is_signal_detected	no_prn_local_is_signal	no_current_step3_prn_input								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=no_current_step3_prn_input	raw_read_link_status=linked;read_accession_source=ENA;prn_call_confidence=insufficient_evidence;evidence_flags=legacy_step3_coverage_gap;no_step3_prn_input;upstream_notes=prn04_rule=no_current_step3_prn_input;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	insufficient_data	Insufficient data	context	6	SAMEA751508		prn_evt_insufficient__not_available_current_step3	insufficient_data	no_prn_is_signal_detected	no_prn_local_is_signal	no_current_step3_prn_input								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=no_current_step3_prn_input	raw_read_link_status=linked;read_accession_source=ENA;prn_call_confidence=insufficient_evidence;evidence_flags=legacy_step3_coverage_gap;no_step3_prn_input;upstream_notes=prn04_rule=no_current_step3_prn_input;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	insufficient_data	Insufficient data	context	6	SAMEA751451		prn_evt_insufficient__not_available_current_step3	insufficient_data	no_prn_is_signal_detected	no_prn_local_is_signal	no_current_step3_prn_input								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=no_current_step3_prn_input	raw_read_link_status=linked;read_accession_source=ENA;prn_call_confidence=insufficient_evidence;evidence_flags=legacy_step3_coverage_gap;no_step3_prn_input;upstream_notes=prn04_rule=no_current_step3_prn_input;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	insufficient_data	Insufficient data	context	6	SAMEA1931276		prn_evt_insufficient__not_available_current_step3	insufficient_data	supported	untyped_panisa_only	no_current_step3_prn_input								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=no_current_step3_prn_input	raw_read_link_status=linked;read_accession_source=ENA;prn_call_confidence=insufficient_evidence;evidence_flags=legacy_step3_coverage_gap;no_step3_prn_input;upstream_notes=prn04_rule=no_current_step3_prn_input;batch_label=current;ismapper_tables_found=0;panisa_file_found=1;prn_hit_count=1;primary_hit=panisa,untyped,1099849,1099855	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported;resolved_bucket=recovered;compatibility_state=observed_recovered
