analysis_id	tree_tip_label	sample_id_canonical	assembly_accession	prn_state	prn_mechanism_call	prn_event_id	country_iso3	year	selection_roles	nearest_to_disrupted_tip_count	nearest_neighbor_min_rank	nearest_neighbor_min_distance	source_disrupted_tip_examples	is_public_longread_or_hybrid	read_accessions
rooted_snp_k3_neighborhood	GCA_000193595.3	SAMN02470863	GCA_000193595.3	intact	intact				nearest_intact_neighbor	2	2	0.00000467	GCA_001307525.1;GCA_001307645.1	False	
rooted_snp_k3_neighborhood	GCA_000479535.2	SAMN02436205	GCA_000479535.2	disrupted	coding_disrupted_is481				disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_000479555.2	SAMN02436200	GCA_000479555.2	disrupted	coding_disrupted_is481				disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_000479595.2	SAMN02436202	GCA_000479595.2	disrupted	coding_disrupted_is481				disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_000479655.2	SAMN02436301	GCA_000479655.2	disrupted	coding_disrupted_is481				disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_000479695.2	SAMN02436300	GCA_000479695.2	disrupted	coding_disrupted_is481				disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_000479715.2	SAMN02436249	GCA_000479715.2	disrupted	coding_disrupted_is481				disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_000479775.2	SAMN02436242	GCA_000479775.2	disrupted	coding_disrupted_other				disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_000479815.2	SAMN02436298	GCA_000479815.2	intact	intact				nearest_intact_neighbor	19	1	0.00000448	GCA_000479595.2;GCA_000479715.2;GCA_001601785.1;GCA_001605445.1;GCA_001605485.1;GCA_001605505.1;GCA_001605565.1;GCA_001605705.1;GCA_001686425.1;GCA_001985305.1	False	
rooted_snp_k3_neighborhood	GCA_000479855.2	SAMN02436296	GCA_000479855.2	intact	intact				nearest_intact_neighbor	2	1	0.00000323	GCA_000479695.2;GCA_001605055.1	False	
rooted_snp_k3_neighborhood	GCA_000479875.2	SAMN02436303	GCA_000479875.2	intact	intact				nearest_intact_neighbor	1	1	0.00000774	GCA_000479535.2	False	
rooted_snp_k3_neighborhood	GCA_001307525.1	SAMN03491903	GCA_001307525.1	disrupted	coding_disrupted_is481		FRA	2009	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001307585.1	SAMN03566780	GCA_001307585.1	intact	intact		NLD	1999	nearest_intact_neighbor	3	2	0.00000674	GCA_000479535.2;GCA_001985765.1;GCA_001985845.1	False	
rooted_snp_k3_neighborhood	GCA_001307605.1	SAMN03566781	GCA_001307605.1	intact	intact		NLD	1999	nearest_intact_neighbor	3	1	0.00000657	GCA_001307645.1;GCA_001985765.1;GCA_001985845.1	False	
rooted_snp_k3_neighborhood	GCA_001307645.1	SAMN03566783	GCA_001307645.1	disrupted	coding_disrupted_inversion_or_rearrangement		SWE	2009	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001307665.1	SAMN03566784	GCA_001307665.1	intact	intact		SWE	2009	nearest_intact_neighbor	2	3	0.00000477	GCA_001307685.1;GCA_001601775.1	False	
rooted_snp_k3_neighborhood	GCA_001307685.1	SAMN03566785	GCA_001307685.1	disrupted	coding_disrupted_is481		NLD	2010	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001509895.1	SAMN03366100	GCA_001509895.1	intact	intact		FRA	2007	nearest_intact_neighbor	1	3	0.00000979	GCA_000479535.2	False	
rooted_snp_k3_neighborhood	GCA_001509915.1	SAMN03249376	GCA_001509915.1	disrupted	coding_disrupted_is481		USA	2013	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001601775.1	SAMN03216671	GCA_001601775.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
