panel_id	prn_event_id	prn_mechanism_call	prn_call_confidence	bp_category	insertion_size_bin	insertion_subject_gap_bp	is_element_name	hit_support_tier	hit_orientation	category	subcategory	sample_count	event_count	country_count	year_min	year_max	example_sample_id_canonical	example_assembly_accession	representative_sequencing_tech	longread_like_sample_count	validation_level	supporting_read_or_public_longread	source_file	notes
mechanism_class_composition		coding_disrupted_inversion_or_rearrangement								mechanism_summary		175	3	6	2009	2024							step4_prn_validation/outputs/bp_prn_mechanism_summary.tsv	is_interpretable=True;is_definitive_disrupted=True
mechanism_class_composition		coding_disrupted_is481								mechanism_summary		382	5	8	2009	2025							step4_prn_validation/outputs/bp_prn_mechanism_summary.tsv	is_interpretable=True;is_definitive_disrupted=True
mechanism_class_composition		coding_disrupted_other								mechanism_summary		20	6	3	2013	2022							step4_prn_validation/outputs/bp_prn_mechanism_summary.tsv	is_interpretable=True;is_definitive_disrupted=True
mechanism_class_composition		insufficient_data								mechanism_summary		387	4	24	1920	2025							step4_prn_validation/outputs/bp_prn_mechanism_summary.tsv	is_interpretable=False;is_definitive_disrupted=False
mechanism_class_composition		intact								mechanism_summary		1305	1	19	1935	2025							step4_prn_validation/outputs/bp_prn_mechanism_summary.tsv	is_interpretable=True;is_definitive_disrupted=False
mechanism_class_composition		uncertain_fragmented_assembly								mechanism_summary		137	1	3	1957	2025							step4_prn_validation/outputs/bp_prn_mechanism_summary.tsv	is_interpretable=False;is_definitive_disrupted=False
breakpoint_gap_length_distribution		coding_disrupted_inversion_or_rearrangement	rule_medium	within_contig	0	0						175	3	6	2009	2024							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_is481	rule_high	insertion_like	1-100	54						1	1	0									step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_is481	rule_high	insertion_like	>1000	1042						6	1	1	2018	2019							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_is481	rule_high	insertion_like	>1000	1043						370	1	8	2009	2025							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_is481	rule_medium	insertion_like	>1000	1041						3	1	1	2012	2012							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_is481	rule_medium	insertion_like	>1000	1042						1	1	1	2018	2018							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_is481	rule_medium	insertion_like	>1000	1045						1	1	0									step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_other	rule_medium	insertion_like	101-500	204						1	1	0									step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
