segment_id	segment_type	parent_node_id	child_node_id	x_cladogram	xend_cladogram	y_order	yend_order
m5node_000001.vertical	vertical	m5node_000001		0.000000	0.000000	1916.855563	1919.000000
m5node_000001->m5node_000002	horizontal	m5node_000001	m5node_000002	0.000000	1.000000	1916.855563	1916.855563
m5node_000001->Reference	horizontal	m5node_000001	Reference	0.000000	1.000000	1919.000000	1919.000000
m5node_000002.vertical	vertical	m5node_000002		1.000000	1.000000	1915.711126	1918.000000
m5node_000002->m5node_000003	horizontal	m5node_000002	m5node_000003	1.000000	2.000000	1915.711126	1915.711126
m5node_000002->GCA_000195715.1	horizontal	m5node_000002	GCA_000195715.1	1.000000	2.000000	1918.000000	1918.000000
m5node_000003.vertical	vertical	m5node_000003		2.000000	2.000000	1914.422253	1917.000000
m5node_000003->m5node_000004	horizontal	m5node_000003	m5node_000004	2.000000	3.000000	1914.422253	1914.422253
m5node_000003->GCA_004794255.1	horizontal	m5node_000003	GCA_004794255.1	2.000000	3.000000	1917.000000	1917.000000
m5node_000004.vertical	vertical	m5node_000004		3.000000	3.000000	1912.844505	1916.000000
m5node_000004->m5node_000005	horizontal	m5node_000004	m5node_000005	3.000000	4.000000	1912.844505	1912.844505
m5node_000004->GCA_004794295.1	horizontal	m5node_000004	GCA_004794295.1	3.000000	4.000000	1916.000000	1916.000000
m5node_000005.vertical	vertical	m5node_000005		4.000000	4.000000	1910.689011	1915.000000
m5node_000005->m5node_000006	horizontal	m5node_000005	m5node_000006	4.000000	5.000000	1910.689011	1910.689011
m5node_000005->GCA_900067265.1	horizontal	m5node_000005	GCA_900067265.1	4.000000	5.000000	1915.000000	1915.000000
m5node_000006.vertical	vertical	m5node_000006		5.000000	5.000000	1908.878022	1912.500000
m5node_000006->m5node_000007	horizontal	m5node_000006	m5node_000007	5.000000	6.000000	1908.878022	1908.878022
m5node_000006->m5node_001916	horizontal	m5node_000006	m5node_001916	5.000000	6.000000	1912.500000	1912.500000
