origin_id	sample_id_canonical	assembly_accession	selection_layer	selection_roles	prn_state	prn_event_id	country_iso3	year	selection_reason	is_selected_for_local_tree	snippy_ctg_completed
origin_0001	SAMN02470863	GCA_000193595.3	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact				rooted_nearest_intact_neighbor	True	True
origin_0001	SAMN03491903	GCA_001307525.1	rooted_snp_k3_neighborhood	disrupted_target	disrupted		FRA	2009	rooted_package_disrupted_descendant	True	True
origin_0001	SAMN04867627	GCA_001686505.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2001	rooted_nearest_intact_neighbor	True	True
origin_0001	SAMN04867630	GCA_001686545.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2001	rooted_nearest_intact_neighbor	True	True
origin_0001	SAMN03455350	GCA_001985305.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2010	proxy_same_event_extra_disrupted_target	True	True
origin_0001	SAMN03455360	GCA_001985505.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2011	proxy_same_event_extra_disrupted_target	True	True
origin_0001	SAMN03455363	GCA_001985565.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2012	proxy_nearest_intact_neighbor	True	True
origin_0001	SAMN03566780	GCA_001307585.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NLD	1999	proxy_nearest_intact_neighbor	True	True
origin_0001	SAMN03566782	GCA_001307625.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NLD	2010	proxy_nearest_intact_neighbor	True	True
origin_0001	SAMN03566785	GCA_001307685.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	NLD	2010	proxy_same_event_extra_disrupted_target	True	True
origin_0001	SAMN03702621	GCA_001986635.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2011	proxy_nearest_intact_neighbor	True	True
origin_0001	SAMN04383571	GCA_001988795.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2010	proxy_same_event_extra_disrupted_target	True	True
origin_0001	SAMN04383574	GCA_001988855.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2012	proxy_nearest_intact_neighbor	True	True
origin_0001	SAMN08395634	GCA_004634705.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	GTM	2014	proxy_nearest_intact_neighbor	True	True
origin_0001	SAMN12385768	GCA_022409415.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NZL	1990	proxy_nearest_intact_neighbor	True	True
origin_0001	SAMN12523719	GCA_050562395.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2018	proxy_nearest_intact_neighbor	True	True
