node_id	parent_node_id	node_type	tip_label	x_cladogram	x_branch_length	y_order	branch_support	is_reference	is_fitch_origin	origin_id	n_tips_total	n_tips_disrupted	n_countries	origin_first_year	origin_last_year	dominant_prn_mechanism	origin_support_score	observed_prn_state	prn_mechanism_call	country_iso3	year	mlst_st	phylo_lineage
m5node_000001		internal		0.000000	0.000000	1917.927782		False	False														
m5node_000002	m5node_000001	internal		1.000000	0.000000	1916.855563	100	False	False														
m5node_000003	m5node_000002	internal		2.000000	0.000000	1915.711126	58	False	False														
m5node_000004	m5node_000003	internal		3.000000	0.000000	1914.422253	100	False	False														
m5node_000005	m5node_000004	internal		4.000000	0.000000	1912.844505	61	False	False														
m5node_000006	m5node_000005	internal		5.000000	0.000000	1910.689011	57	False	False														
m5node_000007	m5node_000006	internal		6.000000	0.000000	1908.878022	57	False	False														
m5node_000008	m5node_000007	internal		7.000000	0.000000	1907.756043	60	False	False														
m5node_000009	m5node_000008	internal		8.000000	0.000000	1906.512087	59	False	False														
m5node_000010	m5node_000009	internal		9.000000	0.000000	1905.024173	60	False	False														
m5node_000011	m5node_000010	internal		10.000000	0.000000	1903.048347	100	False	False														
m5node_000012	m5node_000011	internal		11.000000	0.000000	1900.596693	100	False	False														
m5node_000013	m5node_000012	internal		12.000000	0.000000	1897.193387	100	False	False														
m5node_000014	m5node_000013	internal		13.000000	0.000010	1891.386773	100	False	False														
m5node_000015	m5node_000014	internal		14.000000	0.000020	1881.523547	100	False	False														
m5node_000016	m5node_000015	internal		15.000000	0.000030	1870.351781	100	False	False														
m5node_000017	m5node_000016	internal		16.000000	0.000030	1858.578561	94	False	False														
m5node_000018	m5node_000017	internal		17.000000	0.000030	1839.531146	100	False	False														
m5node_000019	m5node_000018	internal		18.000000	0.000030	1813.062292	100	False	False														
m5node_000020	m5node_000019	internal		19.000000	0.000030	1762.749584	100	False	False														
m5node_000021	m5node_000020	internal		20.000000	0.000030	1721.951763	66	False	False														
m5node_000022	m5node_000021	internal		21.000000	0.000030	1718.403526	100	False	False														
m5node_000023	m5node_000022	internal		22.000000	0.000040	1714.432053	100	False	False														
m5node_000024	m5node_000023	internal		23.000000	0.000040	1710.364106	100	False	False														
m5node_000025	m5node_000024	internal		24.000000	0.000040	1704.790711	99	False	False														
m5node_000026	m5node_000025	internal		25.000000	0.000040	1698.331423	100	False	False														
m5node_000027	m5node_000026	internal		26.000000	0.000040	1690.100345	43	False	False														
m5node_000028	m5node_000027	internal		27.000000	0.000040	1676.200691	38	False	False														
m5node_000029	m5node_000028	internal		28.000000	0.000040	1649.401382	37	False	False														
m5node_000030	m5node_000029	internal		29.000000	0.000040	1598.240264	43	False	False														
m5node_000031	m5node_000030	internal		30.000000	0.000040	1499.480527	44	False	False														
m5node_000032	m5node_000031	internal		31.000000	0.000040	1308.429805	46	False	False														
m5node_000033	m5node_000032	internal		32.000000	0.000040	933.297110	44	False	False														
m5node_000034	m5node_000033	internal		33.000000	0.000040	343.896487	38	False	False														
m5node_000035	m5node_000034	internal		34.000000	0.000040	334.292975	40	False	False														
m5node_000036	m5node_000035	internal		35.000000	0.000040	323.531262	40	False	False														
m5node_000037	m5node_000036	internal		36.000000	0.000040	309.937523	40	False	False														
m5node_000038	m5node_000037	internal		37.000000	0.000040	293.849656	39	False	False														
m5node_000039	m5node_000038	internal		38.000000	0.000040	284.918061	38	False	False														
m5node_000040	m5node_000039	internal		39.000000	0.000040	271.836123	33	False	False														
m5node_000041	m5node_000040	internal		40.000000	0.000040	247.547245	29	False	False														
m5node_000042	m5node_000041	internal		41.000000	0.000040	202.094490	27	False	False														
m5node_000043	m5node_000042	internal		42.000000	0.000040	114.313980	63	False	False														
m5node_000044	m5node_000043	internal		43.000000	0.000040	11.214844	63	False	False														
m5node_000045	m5node_000044	internal		44.000000	0.000040	5.992188	84	False	False														
m5node_000046	m5node_000045	internal		45.000000	0.000040	1.500000		False	False														
GCA_000193595.3	m5node_000046	tip	GCA_000193595.3	46.000000	0.000040	1.000000		False	False									intact	intact				
GCA_001605095.1	m5node_000046	tip	GCA_001605095.1	46.000000	0.000040	2.000000		False	False									intact	intact	USA	2010		
m5node_000047	m5node_000045	internal		45.000000	0.000040	10.484375	54	False	False														
m5node_000048	m5node_000047	internal		46.000000	0.000040	7.968750	94	False	False														
m5node_000049	m5node_000048	internal		47.000000	0.000040	5.187500	98	False	False														
m5node_000050	m5node_000049	internal		48.000000	0.000040	3.500000	100	False	False														
