sample_id_canonical	biosample_accession	assembly_accession	country_iso3	year	repo_prn_status	published_prn_status	prn_mechanism_call	repo_prn_mechanism_broad	published_prn_mechanism_raw	published_prn_mechanism_group	published_match_source	admin1_external	overlap_concordance_flag	mechanism_broad_concordance_flag	country_status_concordance_below_0p85
SAMEA1931346	SAMEA1931346	GCA_001331015.1	AUS	2002.0	PRN-	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_concordant	mechanism_unassessable	True
SAMEA1931507	SAMEA1931507	GCA_001201635.1	AUS	1978.0	PRN-	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_concordant	mechanism_unassessable	True
SAMEA4700352	SAMEA4700352	GCA_900492145.1	FRA	2014.0	PRN+	PRN-	intact		other	other_or_unspecified	biosample		status_discordant		True
SAMEA751155	SAMEA751155	GCA_001331635.1	AUS	2000.0	PRN-	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_concordant	mechanism_unassessable	True
SAMEA751183	SAMEA751183	GCA_001206895.1	AUS	1995.0	PRN+	PRN+	insufficient_data				biosample		status_concordant		True
SAMEA751337	SAMEA751337	GCA_001198195.1	AUS	1998.0	PRN+	PRN+	insufficient_data				biosample		status_concordant		True
SAMEA751348	SAMEA751348	GCA_001212525.1	FRA	1995.0		PRN-	insufficient_data		other	other_or_unspecified	biosample		status_unassessable		True
SAMEA751350	SAMEA751350	GCA_001208065.1	FRA	1993.0		PRN-	insufficient_data		other	other_or_unspecified	biosample		status_unassessable		True
SAMEA751372	SAMEA751372	GCA_001332595.1	FRA	2000.0		PRN+	insufficient_data				biosample		status_unassessable		True
SAMEA751374	SAMEA751374	GCA_001332615.1	FRA	1999.0		PRN-	insufficient_data		other	other_or_unspecified	biosample		status_unassessable		True
SAMEA751405	SAMEA751405	GCA_001203235.1	AUS	2000.0	PRN-	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_concordant	mechanism_unassessable	True
SAMEA751409	SAMEA751409	GCA_001332715.1	FRA	2002.0		PRN+	insufficient_data				biosample		status_unassessable		True
SAMEA751413	SAMEA751413	GCA_001202575.1	FRA	2004.0		PRN-	insufficient_data		other	other_or_unspecified	biosample		status_unassessable		True
SAMEA751415	SAMEA751415	GCA_001332735.1	FRA	2005.0		PRN-	insufficient_data		other	other_or_unspecified	biosample		status_unassessable		True
SAMEA751417	SAMEA751417	GCA_001196575.1	FRA	2007.0		PRN+	insufficient_data				biosample		status_unassessable		True
SAMEA751421	SAMEA751421	GCA_001198955.1	AUS	1998.0		PRN-	insufficient_data		other	other_or_unspecified	biosample		status_unassessable		True
SAMEA751459	SAMEA751459	GCA_001333175.1	AUS	2007.0	PRN-	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_concordant	mechanism_unassessable	True
SAMEA751470	SAMEA751470	GCA_001203115.1	AUS	1997.0	PRN-	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_concordant	mechanism_unassessable	True
SAMEA751471	SAMEA751471	GCA_001333355.1	AUS	2006.0	PRN+	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_discordant		True
SAMEA751472	SAMEA751472	GCA_001195265.1	AUS	1995.0	PRN-	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_concordant	mechanism_unassessable	True
SAMEA751474	SAMEA751474	GCA_001333395.1	AUS	2002.0	PRN+	PRN+	insufficient_data				biosample		status_concordant		True
SAMEA751477	SAMEA751477	GCA_001196975.1	AUS	2004.0	PRN+	PRN+	insufficient_data				biosample		status_concordant		True
SAMEA751479	SAMEA751479	GCA_001333435.1	AUS	1989.0	PRN-	PRN-	insufficient_data		other	other_or_unspecified	biosample		status_concordant	mechanism_unassessable	True
SAMEA751506	SAMEA751506	GCA_001198715.1	AUS	2002.0	PRN-	PRN+	insufficient_data				biosample		status_discordant		True
