comparison_dimension	category	full_interpretable_count	read_linked_interpretable_count	full_interpretable_fraction	read_linked_interpretable_fraction	fraction_gap_read_minus_full	read_to_full_fraction_ratio	full_disrupted_count	read_linked_disrupted_count	full_disrupted_fraction	read_linked_disrupted_fraction	disrupted_fraction_gap_read_minus_full	full_median_n_contigs	read_linked_median_n_contigs	full_median_contig_n50	read_linked_median_contig_n50	full_median_year	read_linked_median_year	notes
country	AUS	45	39	0.03214285714285714	0.030854430379746837	-0.0012884267631103029	0.9599156118143461	21	18	0.4666666666666667	0.46153846153846156	-0.00512820512820511	521.0	550.0	12249.0	11521.0	2002.0	2000.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	CHN	155	150	0.11071428571428571	0.11867088607594936	0.007956600361663652	1.0718660677827685	13	13	0.08387096774193549	0.08666666666666667	0.0027956989247311798	326.0	326.0	21996.0	21996.0	2022.0	2022.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	CZE	14	0	0.01	0.0	-0.01	0.0	0	0	0.0			1.0		4109117.0		2010.0		Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	FRA	11	2	0.007857142857142858	0.0015822784810126582	-0.0062748643761302	0.20138089758342922	1	0	0.09090909090909091	0.0	-0.09090909090909091	1.0	1.0	4094322.0	4093784.5	2024.0	2010.5	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	GBR	18	12	0.012857142857142857	0.00949367088607595	-0.0033634719710669073	0.7383966244725739	0	0	0.0	0.0	0.0	2.0	2.0	4115569.0	4122636.0	1998.0	1967.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	JPN	56	50	0.04	0.03955696202531646	-0.0004430379746835425	0.9889240506329114	7	7	0.125	0.14	0.015000000000000013	329.5	333.0	20976.5	20944.5	2013.5	2011.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	NZL	63	63	0.045	0.049841772151898736	0.004841772151898738	1.1075949367088609	23	23	0.36507936507936506	0.36507936507936506	0.0	1.0	1.0	4107436.0	4107436.0	2009.0	2009.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	USA	930	894	0.6642857142857143	0.7072784810126582	0.042992766726943965	1.06472029399755	535	522	0.5752688172043011	0.5838926174496645	0.008623800245363356	1.0	1.0	4109528.0	4109545.0	2014.0	2014.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	ZAF	31	31	0.02214285714285714	0.0245253164556962	0.00238245931283906	1.1075949367088609	0	0	0.0	0.0	0.0	1.0	1.0	4109672.0	4109672.0	2015.0	2015.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
country	unknown	38	9	0.027142857142857142	0.007120253164556962	-0.02002260397830018	0.2623251165889407	7	0	0.18421052631578946	0.0	-0.18421052631578946	1.0	1.0	4140370.0	4140370.0			Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
year_band	1990_1999	37	34	0.02642857142857143	0.02689873417721519	0.00047016274864376123	1.0177899418405747	11	11	0.2972972972972973	0.3235294117647059	0.026232114467408585	402.0	426.5	18667.5	16420.5	1996.0	1996.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
year_band	2000_2009	153	126	0.10928571428571429	0.09968354430379747	-0.00960216998191682	0.9121370067014147	17	9	0.1111111111111111	0.07142857142857142	-0.03968253968253968	1.0	1.0	4104448.0	4104745.0	2004.0	2004.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
year_band	2010_2014	422	392	0.30142857142857143	0.310126582278481	0.008698010849909565	1.0288559601655767	210	204	0.4976303317535545	0.5204081632653061	0.022777831511751667	1.0	1.0	4108173.0	4107434.0	2012.5	2013.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
year_band	2015_2019	514	499	0.36714285714285716	0.3947784810126582	0.027635623869801063	1.0752721272718317	318	315	0.6186770428015564	0.6312625250501002	0.012585482248543722	1.0	1.0	4109501.0	4108759.0	2017.0	2017.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
year_band	2020_plus	171	149	0.12214285714285714	0.11787974683544304	-0.004263110307414095	0.9650973425123992	41	31	0.23976608187134502	0.2080536912751678	-0.031712390596177226	1.0	1.0	4110574.0	4110603.0	2023.0	2022.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
year_band	pre_1990	49	42	0.035	0.03322784810126582	-0.0017721518987341839	0.9493670886075948	10	10	0.20408163265306123	0.23809523809523808	0.03401360544217685	1.0	4.0	4102978.0	4102412.0	1967.0	1967.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
year_band	unknown_year	54	22	0.03857142857142857	0.01740506329113924	-0.02116636528028933	0.4512423816221285	10	3	0.18518518518518517	0.13636363636363635	-0.04882154882154882	1.0	1.0	4105436.0	4105520.0			Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
mechanism_group	IS481	382	361	0.27285714285714285	0.28560126582278483	0.01274412296564198	1.0467062098217246	382	361	1.0	1.0	0.0	1.0	1.0	4110603.0	4110631.0	2015.0	2015.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
mechanism_group	insufficient	40	34	0.02857142857142857	0.02689873417721519	-0.0016726943942133796	0.9414556962025317	40	34	1.0	1.0	0.0	887.0	887.0	7548.0	7548.0	1997.5	1996.5	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
mechanism_group	intact	783	681	0.5592857142857143	0.5387658227848101	-0.020519891500904164	0.9633105388234153	0	0	0.0	0.0	0.0	1.0	1.0	4105366.0	4105342.0	2014.0	2014.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
mechanism_group	inversion_or_rearrangement	175	169	0.125	0.1337025316455696	0.008702531645569611	1.0696202531645569	175	169	1.0	1.0	0.0	1.0	1.0	4112682.0	4112705.0	2017.0	2017.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
mechanism_group	other_disruption	20	19	0.014285714285714285	0.015031645569620253	0.0007459312839059682	1.0522151898734178	20	19	1.0	1.0	0.0	1.0	1.0	4108488.0	4108488.0	2018.0	2018.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
assembly_quality	assembly_only_or_no_raw_reads	136	0	0.09714285714285714	0.0	-0.09714285714285714	0.0	34	0	0.25			1.0		4106388.5		2012.0		Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
assembly_quality	read_linked_compact	184	184	0.13142857142857142	0.14556962025316456	0.014141048824593133	1.1075949367088609	38	38	0.20652173913043478	0.20652173913043478	0.0	1.0	1.0	4110569.5	4110569.5	2010.5	2010.5	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
assembly_quality	read_linked_fragmented_or_low_n50	1080	1080	0.7714285714285715	0.8544303797468354	0.08300180831826398	1.1075949367088607	545	545	0.5046296296296297	0.5046296296296297	0.0	388.5	388.5	19785.5	19785.5	2015.0	2015.0	Read-linked subset compared with all PRN-interpretable genomes in the retained manifest.
selected_country_contrast_direction	AUS:aus_wp_only->aus_ap_with_prn									-0.2953846153846154	-0.35222672064777333								Contrast-level row: full/read-linked fields encode all-interpretable and read-linked naive epoch-delta estimates; direction_matches_all_interpretable=True; subset_estimable=True.
selected_country_contrast_direction	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn									-0.14596273291925466	-0.13405797101449274								Contrast-level row: full/read-linked fields encode all-interpretable and read-linked naive epoch-delta estimates; direction_matches_all_interpretable=True; subset_estimable=True.
selected_country_contrast_direction	NZL:nzl_wp_only->nzl_ap_with_prn									0.45098039215686275	0.45098039215686275								Contrast-level row: full/read-linked fields encode all-interpretable and read-linked naive epoch-delta estimates; direction_matches_all_interpretable=True; subset_estimable=True.
selected_country_contrast_direction	USA:usa_wp_only->usa_ap_prn_background									0.3013392857142857	0.29512761020881667								Contrast-level row: full/read-linked fields encode all-interpretable and read-linked naive epoch-delta estimates; direction_matches_all_interpretable=True; subset_estimable=True.
