prn_event_id	mechanism_call	event_subcategory	sample_count	country_count	year_min	year_max	validation_level	evidence_type	tsd_or_flank_sequence_status	phenotype_evidence_tier	phenotype_inference	supporting_external_context	caution_note
prn_evt_coding_disrupted_is481__is481__gap1043	coding_disrupted_is481	IS481 insertion	370	8	2009	2025	read_backed_supported	read_backed_targeted_validation	target_site_duplication_recovered	Tier 1 lesion-class bridge	Exact event class is not protein-tested here, but recurrent IS481-mediated prn lesions are repeatedly linked to PRN non-expression in external isolate collections.	Japan 1990-2010, United States 1935-2012, Europe 1998-2015, Belgium 2000-2023	Treat as lesion-class bridged, not event-by-event protein proven.
prn_evt_rearrangement__within_contig__cov58	coding_disrupted_inversion_or_rearrangement	Inversion / rearrangement	109	4	2009	2020	read_backed_supported	read_backed_targeted_validation	target_site_duplication_recovered	Tier 1 lesion-class bridge	Rearrangement or inversion lesion classes are externally phenotype-bridged, but the present event labels remain genome-defined structural classes rather than direct expression measurements.	Europe 1998-2015, Belgium 2000-2023	Treat as lesion-class bridged, not event-by-event protein proven.
prn_evt_rearrangement__within_contig__cov91	coding_disrupted_inversion_or_rearrangement	Inversion / rearrangement	65	3	2010	2024	read_backed_supported	read_backed_targeted_validation	target_site_duplication_recovered	Tier 1 lesion-class bridge	Rearrangement or inversion lesion classes are externally phenotype-bridged, but the present event labels remain genome-defined structural classes rather than direct expression measurements.	Europe 1998-2015, Belgium 2000-2023	Treat as lesion-class bridged, not event-by-event protein proven.
prn_evt_coding_disrupted_is481__is481__gap1042	coding_disrupted_is481	IS481 insertion	7	1	2018	2019	public_longread_or_hybrid_assembly	public_longread_or_hybrid_assembly	read_interval_without_tsd	Tier 1 lesion-class bridge	Exact event class is not protein-tested here, but recurrent IS481-mediated prn lesions are repeatedly linked to PRN non-expression in external isolate collections.	Japan 1990-2010, United States 1935-2012, Europe 1998-2015, Belgium 2000-2023	Treat as lesion-class bridged, not event-by-event protein proven.
prn_evt_coding_disrupted_is481__is481__gap1041	coding_disrupted_is481	IS481 insertion	3	1	2012	2012	public_longread_or_hybrid_assembly	public_longread_or_hybrid_assembly	assembly_coordinate_only	Tier 1 lesion-class bridge	Exact event class is not protein-tested here, but recurrent IS481-mediated prn lesions are repeatedly linked to PRN non-expression in external isolate collections.	Japan 1990-2010, United States 1935-2012, Europe 1998-2015, Belgium 2000-2023	Treat as lesion-class bridged, not event-by-event protein proven.
prn_evt_coding_disrupted_is481__is481__gap1045	coding_disrupted_is481	IS481 insertion	1	0	NA	NA	assembly_only	assembly_only	assembly_coordinate_only	Tier 1 lesion-class bridge	Exact event class is not protein-tested here, but recurrent IS481-mediated prn lesions are repeatedly linked to PRN non-expression in external isolate collections.	Japan 1990-2010, United States 1935-2012, Europe 1998-2015, Belgium 2000-2023	Treat as lesion-class bridged, not event-by-event protein proven.
prn_evt_coding_disrupted_is481__is481__gap54	coding_disrupted_is481	IS481 insertion	1	0	NA	NA	assembly_only	assembly_only	assembly_coordinate_only	Tier 1 lesion-class bridge	Exact event class is not protein-tested here, but recurrent IS481-mediated prn lesions are repeatedly linked to PRN non-expression in external isolate collections.	Japan 1990-2010, United States 1935-2012, Europe 1998-2015, Belgium 2000-2023	Treat as lesion-class bridged, not event-by-event protein proven.
prn_evt_rearrangement__within_contig__cov94	coding_disrupted_inversion_or_rearrangement	Inversion / rearrangement	1	1	2011	2011	public_longread_or_hybrid_assembly	public_longread_or_hybrid_assembly	not_recovered_current_public_data	Tier 1 lesion-class bridge	Rearrangement or inversion lesion classes are externally phenotype-bridged, but the present event labels remain genome-defined structural classes rather than direct expression measurements.	Europe 1998-2015, Belgium 2000-2023	Treat as lesion-class bridged, not event-by-event protein proven.
prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	Other disruptions	10	2	2013	2022	read_backed_supported	read_backed_targeted_validation	target_site_duplication_recovered	Tier 2 genome-disruption plausible	Coding disruption is structurally compatible with PRN loss and has strong genome evidence, but no exact event-class expression bridge was identified for this archive summary.	External phenotype bridge supports the broader disrupted-locus interpretation rather than this exact event label	Retain as genome-defined disruption until paired PRN expression assays are available.
prn_evt_other_disruption__insertion_like__gap1041	coding_disrupted_other	Other disruptions	4	1	2018	2019	read_backed_supported	read_backed_targeted_validation	target_site_duplication_recovered	Tier 2 genome-disruption plausible	Coding disruption is structurally compatible with PRN loss and has strong genome evidence, but no exact event-class expression bridge was identified for this archive summary.	External phenotype bridge supports the broader disrupted-locus interpretation rather than this exact event label	Retain as genome-defined disruption until paired PRN expression assays are available.
