prn_event_id	event_definition_rule	mechanism_call	event_subcategory	sample_count	country_count	year_min	year_max	bp_category	insertion_subject_gap_bp	is_element_name	hit_support_tier	hit_orientation	call_confidence	evidence_flags	example_sample_id_canonical	example_assembly_accession	example_sequencing_tech	example_contig_id	example_gap_start	example_gap_end	read_reference_record	read_locus_start	read_locus_end	tsd_direct_repeats	validation_level	supporting_read_or_public_longread	definition_limitations	rooting_frame	evidence_type	breakpoint_left	breakpoint_right	breakpoint_coordinate_basis	orientation	tsd_or_flank_sequence_status	supporting_read_count	supporting_validation_rows	read_validation_statuses	read_support_classes	longread_exemplar	validation_status	priority_origin_ids	validation_priority
prn_evt_coding_disrupted_is481__is481__gap1041	coding_disrupted_is481|insertion_like|IS481|gap=1041|orientation=-	coding_disrupted_is481	IS481 insertion	3	1	2012	2012	insertion_like	1041	IS481	strong	-	rule_medium	best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit	SAMN12585517	GCA_022407095.1	Oxford Nanopore; Illumina	CP054081.1	1082127	1083167	NA	NA	NA	NA	public_longread_or_hybrid_assembly	GCA_022407095.1::Oxford Nanopore; Illumina	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	public_longread_or_hybrid_assembly	NA	NA	read_reference	-	assembly_coordinate_only					GCA_022407095.1::Oxford Nanopore; Illumina	public_longread_or_hybrid_assembly		
prn_evt_coding_disrupted_is481__is481__gap1042	coding_disrupted_is481|insertion_like|IS481|gap=1042|orientation=+	coding_disrupted_is481	IS481 insertion	7	1	2018	2019	insertion_like	1042	IS481	strong	+	rule_high	best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;moderate_is_hit	SAMN11539676	GCA_027271095.1	PacBio Sequel II; Illumina MiSeq	CP114536.1	1230096	1231137	NC_002929.2	1099688	1099808	NA	public_longread_or_hybrid_assembly	GCA_027271095.1::PacBio Sequel II; Illumina MiSeq	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	public_longread_or_hybrid_assembly	1099688	1099808	read_reference	+	read_interval_without_tsd	0	1	supported_candidate	is481_ismapper_only	GCA_027271095.1::PacBio Sequel II; Illumina MiSeq	supported_candidate		
prn_evt_coding_disrupted_is481__is481__gap1043	coding_disrupted_is481|insertion_like|IS481|gap=1043|orientation=+	coding_disrupted_is481	IS481 insertion	370	8	2009	2025	insertion_like	1043	IS481	strong	+	rule_high	best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit	SAMN03455350	GCA_001985305.1	Illumina MiSeq; PacBio	NA	NA	NA	NC_002929.2	1099682	1099688	ACTAGG	read_backed_supported	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	read_backed_targeted_validation	1099682	1099688	read_reference	+	target_site_duplication_recovered	24	6	supported_candidate;supported_concordant;unresolved	is481_ismapper_only;is481_ismapper_panisa;not_run	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	supported_candidate;supported_concordant;unresolved	origin_0001;origin_0002;origin_0002;origin_0003;origin_0005;origin_0005;origin_0006;origin_0007;origin_0008;origin_0009;origin_0010	dominant_1043bp_architecture
prn_evt_coding_disrupted_is481__is481__gap1045	coding_disrupted_is481|insertion_like|IS481|gap=1045|orientation=-	coding_disrupted_is481	IS481 insertion	1	0	NA	NA	insertion_like	1045	IS481	strong	-	rule_medium	best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit	SAMN02436200	GCA_000479555.2	Illumina HiSeq 2000	AXSF02000065.1	77989	79033	NA	NA	NA	NA	assembly_only	NA	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	assembly_only	NA	NA	read_reference	-	assembly_coordinate_only					NA	assembly_only	origin_0005	origin_linked_event
prn_evt_coding_disrupted_is481__is481__gap54	coding_disrupted_is481|insertion_like|IS481|gap=54|orientation=-	coding_disrupted_is481	IS481 insertion	1	0	NA	NA	insertion_like	54	IS481	strong	-	rule_high	best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit	SAMN02436301	GCA_000479655.2	Illumina HiSeq 2000	AXST02000121.1	257	310	NA	NA	NA	NA	assembly_only	NA	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	assembly_only	NA	NA	read_reference	-	assembly_coordinate_only					NA	assembly_only	origin_0005	origin_linked_event
prn_evt_other_disruption__insertion_like__gap1040	coding_disrupted_other|insertion_like|IS481|gap=1040|orientation=+	coding_disrupted_other	Other disruptions	3	2	2015	2018	insertion_like	1040	IS481	weak	+	rule_medium	bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit	SAMN12585531	GCA_022409155.1	Oxford Nanopore; Illumina	CP054066.1	1081253	1082292	NC_002929.2	1099683	1099688	ACTAGG	read_backed_supported	panisa:IS481@1099683-1099688:NA	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	read_backed_targeted_validation	1099683	1099688	read_reference	+	target_site_duplication_recovered	8	2	no_prn_is_signal_detected;supported;supported_candidate	is481_ismapper_only;is481_panisa_only;no_prn_local_is_signal	panisa:IS481@1099683-1099688:NA	no_prn_is_signal_detected;supported;supported_candidate		
prn_evt_other_disruption__insertion_like__gap1041	coding_disrupted_other|insertion_like|IS481|gap=1041|orientation=+	coding_disrupted_other	Other disruptions	4	1	2018	2019	insertion_like	1041	IS481	weak	+	rule_medium	bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit	SAMN12108524	GCA_050562875.1	PacBio RS II; Illumina MiSeq	CP191733.1	1081232	1082272	NC_002929.2	1096735	1097761	ACTAGG	read_backed_supported	ismapper:IS1663@1096735-1097761:F; ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	read_backed_targeted_validation	1096735	1097761	read_reference	+	target_site_duplication_recovered	12	4	supported_candidate;supported_concordant	is481_ismapper_only;is481_ismapper_panisa	ismapper:IS1663@1096735-1097761:F; ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	supported_candidate;supported_concordant		
prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other|insertion_like|IS481|gap=1042|orientation=+	coding_disrupted_other	Other disruptions	10	2	2013	2022	insertion_like	1042	IS481	weak	+	rule_medium	bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;mapped_from_legacy_mirror_or_alt_accession;no_supported_is_hit	SAMN08136991	GCA_004007095.1	PacBio RSII; Illumina HiSeq	NA	NA	NA	NC_002929.2	1099682	1099688	ACTAGG	read_backed_supported	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	read_backed_targeted_validation	1099682	1099688	read_reference	+	target_site_duplication_recovered	30	7	supported_candidate;supported_concordant;unresolved	is481_ismapper_only;is481_ismapper_panisa;not_run	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	supported_candidate;supported_concordant;unresolved		
prn_evt_other_disruption__insertion_like__gap1044	coding_disrupted_other|insertion_like|IS481|gap=1044|orientation=-	coding_disrupted_other	Other disruptions	1	1	2022	2022	insertion_like	1044	IS481	weak	-	rule_medium	bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit	SAMN42391128	GCA_047323485.1	Illumina NovaSeq	CP178781.1	1416083	1417126	NA	NA	NA	NA	read_validation_unresolved	NA	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	read_validation_unresolved	NA	NA	read_reference	-	assembly_coordinate_only	0	0	unresolved	not_run	NA	unresolved		
prn_evt_other_disruption__insertion_like__gap1045	coding_disrupted_other|insertion_like|IS481|gap=1045|orientation=-	coding_disrupted_other	Other disruptions	1	1	2022	2022	insertion_like	1045	IS481	weak	-	rule_medium	bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit	SAMN42391129	GCA_047323475.1	Illumina NovaSeq	CP178780.1	1416127	1417171	NA	NA	NA	NA	read_validation_unresolved	NA	Reference-coordinate fields are populated only when read-level or example-assembly coordinates are present in the current ledgers; blank fields should not be interpreted as absence of a junction.	event_catalog_not_rooting_specific;primary_asr=composition_pruned	read_validation_unresolved	NA	NA	read_reference	-	assembly_coordinate_only	0	0	unresolved	not_run	NA	unresolved		
