country_iso3	epoch_id	epoch_label	epoch_type	prn_event_id	prn_mechanism_call	epoch_event_count	epoch_total_disrupted	country_name	epoch_event_share	major_recurrent_architecture	dominant_after_origin_collapse	validation_level	hard_anchor	event_label	dominant_epoch_architecture
AUS	aus_ap_with_prn	All-dose acellular era with PRN exposure	aP_with_PRN	prn_evt_fragmented_contigs	uncertain_fragmented_assembly	5	8	Australia	0.625					prn_evt_fragmented_contigs	True
AUS	aus_ap_with_prn	All-dose acellular era with PRN exposure	aP_with_PRN	prn_evt_coding_disrupted_is481__is481__gap1043	coding_disrupted_is481	2	8	Australia	0.25	True	True	read_backed_supported	True	IS481 gap1043	False
AUS	aus_ap_with_prn	All-dose acellular era with PRN exposure	aP_with_PRN	prn_evt_rearrangement__within_contig__cov58	coding_disrupted_inversion_or_rearrangement	1	8	Australia	0.125	True	False	read_backed_supported	True	Rearrangement cov58	False
AUS	aus_transition_mixed	Booster-only acellular transition period	transition_mixed	prn_evt_fragmented_contigs	uncertain_fragmented_assembly	3	3	Australia	1.0					prn_evt_fragmented_contigs	True
AUS	aus_wp_only	Whole-cell era	wP_only	prn_evt_fragmented_contigs	uncertain_fragmented_assembly	8	8	Australia	1.0					prn_evt_fragmented_contigs	True
JPN	jpn_ap_without_prn	Post-switch acellular era without PRN	aP_without_PRN	prn_evt_coding_disrupted_is481__is481__gap1043	coding_disrupted_is481	2	2	Japan	1.0	True	True	read_backed_supported	True	IS481 gap1043	True
JPN	jpn_pre2012_mixed_ap	Historical acellular era with mixed PRN exposure	booster_modified_or_uncertain	prn_evt_fragmented_contigs	uncertain_fragmented_assembly	5	5	Japan	1.0					prn_evt_fragmented_contigs	True
NZL	nzl_ap_with_prn	Acellular schedule era with PRN-containing products	aP_with_PRN	prn_evt_coding_disrupted_is481__is481__gap1043	coding_disrupted_is481	17	23	New Zealand	0.7391304347826086	True	True	read_backed_supported	True	IS481 gap1043	True
NZL	nzl_ap_with_prn	Acellular schedule era with PRN-containing products	aP_with_PRN	prn_evt_coding_disrupted_is481__is481__gap1041	coding_disrupted_is481	3	23	New Zealand	0.13043478260869565	False	False	public_longread_or_hybrid_assembly	True	IS481 gap1041	False
NZL	nzl_ap_with_prn	Acellular schedule era with PRN-containing products	aP_with_PRN	prn_evt_other_disruption__insertion_like__gap1040	coding_disrupted_other	2	23	New Zealand	0.08695652173913043	False	False	read_backed_supported	True	Other gap1040	False
NZL	nzl_ap_with_prn	Acellular schedule era with PRN-containing products	aP_with_PRN	prn_evt_rearrangement__within_contig__cov58	coding_disrupted_inversion_or_rearrangement	1	23	New Zealand	0.043478260869565216	True	False	read_backed_supported	True	Rearrangement cov58	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_coding_disrupted_is481__is481__gap1043	coding_disrupted_is481	319	509	United States	0.6267190569744597	True	True	read_backed_supported	True	IS481 gap1043	True
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_rearrangement__within_contig__cov58	coding_disrupted_inversion_or_rearrangement	105	509	United States	0.206286836935167	True	False	read_backed_supported	True	Rearrangement cov58	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_rearrangement__within_contig__cov91	coding_disrupted_inversion_or_rearrangement	58	509	United States	0.11394891944990176	True	False	read_backed_supported	True	Rearrangement cov91	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_coding_disrupted_is481__is481__gap1042	coding_disrupted_is481	7	509	United States	0.0137524557956778	False	False	public_longread_or_hybrid_assembly	True	IS481 gap1042	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_fragmented_contigs	uncertain_fragmented_assembly	7	509	United States	0.0137524557956778					prn_evt_fragmented_contigs	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	6	509	United States	0.011787819253438114	False	False	read_backed_supported	True	Other gap1042	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_other_disruption__insertion_like__gap1041	coding_disrupted_other	4	509	United States	0.007858546168958742	False	False	read_backed_supported	True	Other gap1041	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_insufficient__partial	insufficient_data	1	509	United States	0.0019646365422396855					Insufficient	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_other_disruption__insertion_like__gap1040	coding_disrupted_other	1	509	United States	0.0019646365422396855	False	False	read_backed_supported	True	Other gap1040	False
USA	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	prn_evt_rearrangement__within_contig__cov66	coding_disrupted_inversion_or_rearrangement	1	509	United States	0.0019646365422396855					prn_evt_rearrangement__within_contig__cov66	False
USA	usa_transition_mixed	DTaP-preferred transition period	transition_mixed	prn_evt_fragmented_contigs	uncertain_fragmented_assembly	2	2	United States	1.0					prn_evt_fragmented_contigs	True
USA	usa_wp_only	Whole-cell routine vaccination era	wP_only	prn_evt_fragmented_contigs	uncertain_fragmented_assembly	5	6	United States	0.8333333333333334					prn_evt_fragmented_contigs	True
USA	usa_wp_only	Whole-cell routine vaccination era	wP_only	prn_evt_insufficient__partial	insufficient_data	1	6	United States	0.16666666666666666					Insufficient	False
