origin_id	n_disrupted_descendant_tips	n_unique_events	dominant_prn_event_id	dominant_event_count	dominant_event_share	top3_event_share	country_count	mlst_st_count	year_min	year_max	notes
origin_0001	38	4	prn_evt_coding_disrupted_is481__is481__gap1043	26	0.6842105263157895	0.9736842105263158	5	2	2009	2014	Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0002	1	1	prn_evt_coding_disrupted_is481__is481__gap1043	1	1.0	1.0	1	1	2009	2009	Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0003	1	1	prn_evt_coding_disrupted_is481__is481__gap1043	1	1.0	1.0	1	1			Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0004	1	1	prn_evt_coding_disrupted_is481__is481__gap1043	1	1.0	1.0	1	1	2012	2012	Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0005	1	1	prn_evt_coding_disrupted_is481__is481__gap1043	1	1.0	1.0	1	1	2010	2010	Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0006	19	2	prn_evt_coding_disrupted_is481__is481__gap1043	18	0.9473684210526315	1.0	2	1	2010	2014	Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0007	1	1	prn_evt_coding_disrupted_is481__is481__gap1043	1	1.0	1.0	1	1	2013	2013	Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0008	8	3	prn_evt_rearrangement__within_contig__cov91	5	0.625	1.0	2	1	2010	2013	Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0009	1	1	prn_evt_coding_disrupted_is481__is481__gap1043	1	1.0	1.0	1	1			Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0010	3	1	prn_evt_rearrangement__within_contig__cov58	3	1.0	1.0	1	1	2012	2012	Computed over disrupted descendant tips in the primary ASR event-subtree package.
origin_0011	1	1	prn_evt_rearrangement__within_contig__cov58	1	1.0	1.0	1	1	2009	2009	Computed over disrupted descendant tips in the primary ASR event-subtree package.
