prn_event_id	event_subcategory	mechanism_call	sample_count	country_count	year_min	year_max	n_genomes	n_countries_observed	n_country_year_cells	n_mlst_st	top_mlst_st	n_ptxP_labels	top_ptxP_labels	n_fim3_labels	top_fim3_labels	n_background_profiles	top_background_profiles	n_published_sublineages	top_published_sublineages	top_country_year_cells	anchor_interpretation
prn_evt_coding_disrupted_is481__is481__gap1043	IS481 insertion	coding_disrupted_is481	370	8	2009	2025	370	8	24	2	2 (369); 83 (1)	1	ptxP_3 (368)	4	fim3_1 (306); fim3_2 (8); fim3_27 (3)	1	ptxP3/PRN- (368)	0	NA	USA:2014 (68); USA:2017 (66); USA:2019 (47)	Multiple lineage or sampling anchors; not consistent with one sampled country-year clone.
prn_evt_rearrangement__within_contig__cov58	Inversion / rearrangement	coding_disrupted_inversion_or_rearrangement	109	4	2009	2020	109	4	14	2	2 (74); 83 (35)	1	ptxP_3 (109)	3	fim3_2 (87); fim3_1 (8); fim3_27 (1)	1	ptxP3/PRN- (109)	0	NA	USA:2019 (25); USA:2018 (21); USA:2017 (13)	Multiple lineage or sampling anchors; not consistent with one sampled country-year clone.
prn_evt_rearrangement__within_contig__cov91	Inversion / rearrangement	coding_disrupted_inversion_or_rearrangement	65	3	2010	2024	65	3	13	1	2 (65)	1	ptxP_3 (65)	2	fim3_1 (51); fim3_27 (1)	1	ptxP3/PRN- (65)	0	NA	USA:2017 (11); USA:2014 (10); USA:2013 (7)	Multiple lineage or sampling anchors; not consistent with one sampled country-year clone.
prn_evt_other_disruption__insertion_like__gap1042	Other disruptions	coding_disrupted_other	10	2	2013	2022	10	2	5	1	2 (10)	1	ptxP_3 (10)	1	fim3_1 (9)	1	ptxP3/PRN- (10)	0	NA	CHN:2022 (3); USA:2018 (3); USA:2019 (2)	Multiple lineage or sampling anchors; not consistent with one sampled country-year clone.
prn_evt_coding_disrupted_is481__is481__gap1042	IS481 insertion	coding_disrupted_is481	7	1	2018	2019	7	1	2	1	2 (7)	1	ptxP_3 (7)	2	fim3_1 (6); fim3_2 (1)	1	ptxP3/PRN- (7)	0	NA	USA:2018 (5); USA:2019 (2)	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
prn_evt_other_disruption__insertion_like__gap1041	Other disruptions	coding_disrupted_other	4	1	2018	2019	4	1	2	2	2 (3); - (1)	1	ptxP_3 (4)	1	fim3_1 (4)	1	ptxP3/PRN- (4)	0	NA	USA:2018 (3); USA:2019 (1)	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
prn_evt_coding_disrupted_is481__is481__gap1041	IS481 insertion	coding_disrupted_is481	3	1	2012	2012	3	1	1	1	2 (3)	1	ptxP_3 (3)	0	NA	1	ptxP3/PRN- (3)	0	NA	NZL:2012 (3)	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
prn_evt_other_disruption__insertion_like__gap1040	Other disruptions	coding_disrupted_other	3	2	2015	2018	3	2	3	1	2 (3)	1	ptxP_3 (3)	1	fim3_1 (1)	1	ptxP3/PRN- (3)	0	NA	NZL:2015 (1); NZL:2018 (1); USA:2018 (1)	Multiple lineage or sampling anchors; not consistent with one sampled country-year clone.
prn_evt_coding_disrupted_is481__is481__gap1045	IS481 insertion	coding_disrupted_is481	1	0	NA	NA	1	0	0	1	2 (1)	1	ptxP_3 (1)	1	fim3_1 (1)	1	ptxP3/PRN- (1)	0	NA	NA	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
prn_evt_coding_disrupted_is481__is481__gap54	IS481 insertion	coding_disrupted_is481	1	0	NA	NA	1	0	0	1	2 (1)	1	ptxP_3 (1)	1	fim3_1 (1)	1	ptxP3/PRN- (1)	0	NA	NA	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
prn_evt_other_disruption__insertion_like__gap1044	Other disruptions	coding_disrupted_other	1	1	2022	2022	1	1	1	1	2 (1)	1	ptxP_3 (1)	1	fim3_1 (1)	1	ptxP3/PRN- (1)	0	NA	CHN:2022 (1)	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
prn_evt_other_disruption__insertion_like__gap1045	Other disruptions	coding_disrupted_other	1	1	2022	2022	1	1	1	1	2 (1)	1	ptxP_3 (1)	1	fim3_1 (1)	1	ptxP3/PRN- (1)	0	NA	CHN:2022 (1)	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
prn_evt_other_disruption__insertion_like__gap204	Other disruptions	coding_disrupted_other	1	0	NA	NA	1	0	0	1	2 (1)	1	ptxP_3 (1)	1	fim3_1 (1)	1	ptxP3/PRN- (1)	0	NA	NA	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
prn_evt_rearrangement__within_contig__cov94	Inversion / rearrangement	coding_disrupted_inversion_or_rearrangement	1	1	2011	2011	1	1	1	1	2 (1)	1	ptxP_3 (1)	1	fim3_2 (1)	1	ptxP3/PRN- (1)	0	NA	USA:2011 (1)	Sparse archive anchor; interpret with stronger dependence on local validation and block audits.
