sample_id_canonical	assembly_accession	country	year	year_band	source_database	assembly_level	n_contigs	contig_n50	total_sequence_length	prn_mechanism_call	prn_state	read_linkage	include_in_snippy_ctg	in_core_full_alignment	excluded_pre_gubbins_missingness	missing_fraction_pre_gubbins	in_primary_asr_tree	final_contract_status	final_contract_reason
SAMEA1705933	GCA_000195715.1	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Complete Genome	1	4086189	4086189	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMEA2272749	GCA_000306945.1	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Complete Genome	1	4043846	4043846	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMEA3178015	GCA_901472525.1	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102960	4102960	intact	intact	linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMEA3354379	GCA_001013565.1	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106389	4106389	intact	intact	linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMEA3871515	GCA_900067265.1	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Scaffold	257	23014	3857563	insufficient_data	insufficient_or_uncertain	linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMEA3905388	GCA_900445805.1	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	2	4127458	4140062	intact	intact	linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN02360353	GCA_000812165.1	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Complete Genome	1	4134593	4134593	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436196	GCA_000479835.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	120	52255	4150262	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436197	GCA_000479895.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	54	122855	4033849	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436198	GCA_000479935.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	41	264509	4045408	uncertain_fragmented_assembly	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436199	GCA_000479435.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	138	46158	3844206	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN02436200	GCA_000479555.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	65	134387	4044283	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436201	GCA_000479515.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	46	189616	4057285	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436202	GCA_000479595.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	62	112367	4014250	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
