stage_id	stage_name	n_rows	delta_from_previous	source_file	rule_or_definition	notes
S00	public_assembly_universe	3370	NA	pertussis_data/pertussis_gene/step1_ingest/outputs/bp_public_genome_manifest.tsv	All downloaded public assemblies before manuscript-stage retention.	Universe count used for the top of the funnel.
S01	combined_manuscript_manifest	2406	-964	outputs/workflow/manifest/manifest.tsv	Current combined manifest after public-assembly QC, read-rescue provenance assignment, and de novo public-read augmentation.	Comprises 2140 public genome assemblies, 107 public-read rescue records, and 159 de novo public_raw_read_assembly records; the retained public-assembly QC anchor remains 2247 records.
S02	prn_interpretable_subset	1325	-1081	manuscript/figure_data/fig05_evidence_chain_summary.tsv	Frozen manuscript-facing event/phenotype frame: intact-locus boundary calls plus structurally resolved disrupted event-class calls.	Frozen frame comprises 748 intact-locus boundary calls and 577 structurally resolved disrupted event-class calls.
S03	prn_insufficient_or_uncertain_subset	1081	NA	manuscript/figure_data/fig05_evidence_chain_summary.tsv	Retained records outside the frozen manuscript-facing event/phenotype frame.	Frozen non-interpretable or uncertain records enter missingness bounds rather than event-concentration denominators.
S04	raw_read_linked_subset	1579	NA	pertussis_data/pertussis_gene/step1_ingest/outputs/bp_public_genome_qc_manifest.tsv	QC-retained public assemblies with raw_reads_available == True plus de novo public_raw_read_assembly records.	Includes 159 genomes assembled directly from public reads.
S05	read_validation_table	66	NA	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv	Targeted 60-row read-validation table after the 2026-04-12 recovery merge, spanning disrupted, intact, and insufficient states.	Validation is deliberately partial and functions as both corroboration and rescue/negative-control evidence.
S06	snippy_ctg_qc_pass	1951	NA	outputs/workflow/snippy_ctg/snippy_ctg_plan.tsv	include_in_snippy_ctg == True in the current Snippy contig-mode plan.	This is an operational ML-tree eligibility layer, not yet a manuscript-facing representativeness contract.
S07	core_full_alignment_total	1952	NA	outputs/workflow/phylo/core.full.aln	All FASTA entries in core.full.aln, including the Reference sequence.	Contains 1951 study genomes plus Reference.
S08	excluded_pre_gubbins_missingness	0	NA	outputs/workflow/phylo/pre_gubbins_missingness.tsv	keep == False in the pre-Gubbins missingness filter.	Current rerun excludes only GCA_000212975.1 at missing_fraction=0.889548.
S09	unpruned_asr_tree_total_tips	1952	NA	outputs/workflow/asr/tip_states.tsv	All tip rows exported into the rooted ML-tree ASR package before composition pruning, including Reference.	Contains 1951 study genomes plus Reference; retained as the unpruned comparability frame.
S10	unpruned_asr_tree_nonreference_state_breakdown	1951	NA	outputs/workflow/asr/tip_states.tsv	Non-reference study genomes in the unpruned rooted ML-tree ASR package.	Non-reference state counts: intact=1229, disrupted=561, insufficient_data=161.
S11	composition_pruned_primary_asr_tree_total_tips	1919	NA	outputs/workflow/asr_sensitivity/composition_filtered/tip_states.tsv	Primary ASR quality frame after pruning the 33 nonreference IQ-TREE composition-failed tips, retaining Reference.	Contains 1918 study genomes plus Reference.
S12	composition_pruned_primary_asr_tree_nonreference_state_breakdown	1918	NA	outputs/workflow/asr_sensitivity/composition_filtered/tip_states.tsv	Non-reference study genomes in the composition-pruned primary ASR quality frame.	Non-reference state counts: intact=1202, disrupted=559, insufficient_data=157.
