sample_id_canonical	biosample_accession	assembly_accession	sra_run_accession	country_iso3	year	mlst_st	phylo_lineage	prn_call_initial	prn_mechanism_call	prn_call_confidence	prn_event_id	prn_query_cov_pct	prn_best_single_cov_pct	prn_hsp_n	bp_category	insertion_subject_gap_bp	is_element_best_hit	is_element_best_hit_pident	is_element_best_hit_qcov	read_validation_status	read_validation_support	evidence_flags	notes	bioproject_accession	country	date_resolution	source_database	sequencing_tech	total_sequence_length	gc_percent	n_contigs	contig_n50	ena_run_accession	sra_sample_accession	ena_sample_accession	raw_reads_available	raw_read_run_count	raw_read_link_status	raw_read_link_source	duplicate_group_id	record_decision	analysis_cohort_id	analysis_cohort_name	phylogeny_manifest_type	phylogeny_selected_for_tree	ptxP_label	fim3_label	fhaB2400_5550_label	marker_23s_status	background_profile_id	background_display_label	published_lineage_label	published_sublineage_label	typing_source_tier	phylo_lineage_source	prn_interpretable	prn_disrupted	evidence_tier	rescued_prn_call	country_program_target	prn_rescue_status	prn_rescue_source	has_reads	data_origin	culture_status	specimen_type	ct_or_dna_input	provenance_note
SAMD00046894	SAMD00046894	GCA_001598615.1						intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier																																	True	False	assembly_low			not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00328237	SAMD00328237	GCA_019974435.1		JPN	2018			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier	PRJDB7578	Japan	year	SOURCE_DATABASE_GENBANK	Illumina NovaSeq 6000; PacBio RSII	4130169	67.5	1	4130169	DRR300236		DRS192129	true	1	linked	ENA read_run search by sample_accession; local NCBI Datasets JSONL sample_ids	dupgrp_001063	retain_representative	A	global_historical_phylogeny	balanced	true											True	False	assembly_low		jpn_ap_without_prn	not_applicable		True	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00549575	SAMD00549575	GCA_026001265.1		JPN	2018			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier	PRJDB7578	Japan	year	SOURCE_DATABASE_GENBANK	Illumina Novaseq 6000; PacBio Sequel I	4132330	67.5	1	4132330	DRR445791		DRS281775	true	1	linked	ENA read_run search by sample_accession; local NCBI Datasets JSONL sample_ids	dupgrp_001137	retain_representative	A	global_historical_phylogeny	balanced	true											True	False	assembly_low		jpn_ap_without_prn	not_applicable		True	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00570813	SAMD00570813	GCA_055380295.1		JPN	2020			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier	PRJDB7578	Japan	year	SOURCE_DATABASE_GENBANK	Illumina Novaseq 6000; PacBio Sequel I	4096410	67.5	1	4096410	DRR428489		DRS273959	true	1	linked	ENA read_run search by sample_accession; local NCBI Datasets JSONL sample_ids	dupgrp_002206	retain_unique	A	global_historical_phylogeny	balanced	true											True	False	assembly_low		jpn_ap_without_prn	not_applicable		True	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00885979	SAMD00885979	GCA_054658115.1		JPN	2024			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier		Japan																															True	False	assembly_low		jpn_ap_without_prn	not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00885980	SAMD00885980	GCA_054658095.1		JPN	2024			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier		Japan																															True	False	assembly_low		jpn_ap_without_prn	not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00892034	SAMD00892034	GCA_054656595.1		JPN	2024			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier		Japan																															True	False	assembly_low		jpn_ap_without_prn	not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00892035	SAMD00892035	GCA_054656535.1		JPN	2025			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier		Japan																															True	False	assembly_low		jpn_ap_without_prn	not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00892036	SAMD00892036	GCA_054656515.1		JPN	2025			disrupted_multi_hsp	uncertain_fragmented_assembly	rule_low	prn_evt_fragmented_contigs	100.00	91.26	2	fragmented_contigs					not_run	not_evaluated	bp_fragmentation_signal;disrupted_multi_hsp	confidence_is_pre_prn04_rule_tier		Japan																															False	False	assembly_low		jpn_ap_without_prn	not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00892037	SAMD00892037	GCA_054656475.1		JPN	2025			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier		Japan																															True	False	assembly_low		jpn_ap_without_prn	not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00892038	SAMD00892038	GCA_054656415.1		JPN	2025			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier		Japan																															True	False	assembly_low		jpn_ap_without_prn	not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
SAMD00892039	SAMD00892039	GCA_054656375.1		JPN	2025			intact	intact	rule_high	prn_evt_intact	100.00	100.00	1						not_run	not_evaluated	prn_intact_call	confidence_is_pre_prn04_rule_tier		Japan																															True	False	assembly_low		jpn_ap_without_prn	not_applicable		False	public_genome_assembly	not_reported_public_assembly	not_reported_public_assembly	not_reported_public_assembly	
