biosample_accession	current_accession	genome_fasta_path	resolved_genome_fasta_path	country	year	mlst_st	marker_status_bapC	marker_status_brkA	marker_status_fhaB	marker_status_phg	marker_status_sphB1	marker_status_tcfA	marker_status_vag8	marker_pident_bapC	marker_pident_brkA	marker_pident_fhaB	marker_pident_phg	marker_pident_sphB1	marker_pident_tcfA	marker_pident_vag8	marker_qcov_bapC	marker_qcov_brkA	marker_qcov_fhaB	marker_qcov_phg	marker_qcov_sphB1	marker_qcov_tcfA	marker_qcov_vag8	marker_len_bapC	marker_len_brkA	marker_len_fhaB	marker_len_phg	marker_len_sphB1	marker_len_tcfA	marker_len_vag8	marker_bapC	marker_brkA	marker_fhaB	marker_phg	marker_sphB1	marker_tcfA	marker_vag8	pseudo_control_loci_scanned
SAMN08136977	GCF_004008975.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008975.1/GCF_004008975.1_ASM400897v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMEA3354379	GCF_001013565.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001013565.1/GCF_001013565.1_BPD420_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001013565.1.fasta			2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	99.94	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10767	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	bf0380a4382bbf4c75bd1415249a55b0	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03491903	GCF_001307525.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307525.1/GCF_001307525.1_ASM130752v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307525.1.fasta	France	2009	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03491902	GCF_001307565.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307565.1/GCF_001307565.1_ASM130756v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307565.1.fasta	France	2008	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566780	GCF_001307585.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307585.1/GCF_001307585.1_ASM130758v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307585.1.fasta	Netherlands	1999	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566781	GCF_001307605.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307605.1/GCF_001307605.1_ASM130760v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307605.1.fasta	Netherlands	1999	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566782	GCF_001307625.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307625.1/GCF_001307625.1_ASM130762v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307625.1.fasta	Netherlands	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566783	GCF_001307645.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307645.1/GCF_001307645.1_ASM130764v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307645.1.fasta	Sweden	2009	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	99.99	100.00	100.00	100.00	100.00	100.00	100.00	100.01	100.00	100.00	100.00	100.00	2987	3033	10774	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	9e5832b3affae57020119a95a1f88965	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566784	GCF_001307665.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307665.1/GCF_001307665.1_ASM130766v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307665.1.fasta	Sweden	2009	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566785	GCF_001307685.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307685.1/GCF_001307685.1_ASM130768v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307685.1.fasta	Netherlands	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566786	GCF_001307705.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307705.1/GCF_001307705.1_ASM130770v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307705.1.fasta	Norway	2009	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	99.99	100.00	99.96	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10772	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	214cd959b341052962086ff6d9460835	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566787	GCF_001307725.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307725.1/GCF_001307725.1_ASM130772v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	Netherlands	2012	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03566788	GCF_001307745.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001307745.1/GCF_001307745.1_ASM130774v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307745.1.fasta	Netherlands	2012	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03366100	GCF_001509895.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001509895.1/GCF_001509895.1_ASM150989v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001509895.1.fasta	France	2007	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	99.99	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10772	1257	2796	1944	2748	c660b0c4770a7b3831666d706709f5d0	7f911efceef14a75e84a005631d3f241	214cd959b341052962086ff6d9460835	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249376	GCF_001509915.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001509915.1/GCF_001509915.1_ASM150991v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001509915.1.fasta	USA	2013	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	c660b0c4770a7b3831666d706709f5d0	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03996260	GCF_001558395.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001558395.1/GCF_001558395.1_ASM155839v2_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001558395.2.fasta	USA	1999	2	ok	ok	ok	ok	ok	ok	ok	100.00	99.97	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3032	10773	1257	2795	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7a2c0063be827c53789d79a65ed08894	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	d245456d3196971f8d54c94781097386	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03216671	GCF_001601775.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001601775.1/GCF_001601775.1_ASM160177v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001601775.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03251820	GCF_001601785.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001601785.1/GCF_001601785.1_ASM160178v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001601785.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	211f5d0d3c7774e76983c3435c294e3b	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249361	GCF_001605035.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605035.1/GCF_001605035.1_ASM160503v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605035.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	6f5703b0c03e31a5c75fdbe4fb7ca71d	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
