genome_fasta_path	marker	status	pident	qcov_pct	length	qlen	qstart	qend	sstart	send	bitscore	allele_len	allele_hash	error
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	bapC	ok	99.97	100.03	2988	2987	1	2987	7296	4309	5381.00	2988	617315bee57c6e03fd2aed0caf469cdb	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	brkA	ok	100.00	100.00	3033	3033	1	3033	11645	14677	5470.00	3033	7f911efceef14a75e84a005631d3f241	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	fhaB	ok	100.00	100.00	10773	10773	1	10773	30860	20088	19428.00	10773	da0478e047a411c37783a749fed0c19b	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	phg	ok	100.00	100.00	1257	1257	1	1257	22841	21585	2268.00	1257	3bb3ca91169fe2ef4a978c896b99f0d9	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	sphB1	ok	100.00	100.00	2796	2796	1	2796	11938	9143	5043.00	2796	47002c2b08414e16d022934013aa7182	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	tcfA	ok	100.00	100.00	1944	1944	1	1944	22259	20316	3507.00	1944	b1b993ebb886152c48b7223b5baf76d3	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	vag8	ok	100.00	100.00	2748	2748	1	2748	20044	17297	4956.00	2748	80797efcc4cedb4edc35a4be5005ccda	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	bapC	ok	100.00	100.00	2987	2987	1	2987	2879579	2876593	5387.00	2987	f82a4e3b3615dde67ca1ea91b590a21f	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	brkA	ok	100.00	100.00	3033	3033	1	3033	579793	576761	5470.00	3033	7f911efceef14a75e84a005631d3f241	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	fhaB	ok	100.00	100.00	10773	10773	1	10773	1821648	1832420	19428.00	10773	da0478e047a411c37783a749fed0c19b	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	phg	ok	100.00	100.00	1257	1257	1	1257	2241888	2240632	2268.00	1257	3bb3ca91169fe2ef4a978c896b99f0d9	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	sphB1	ok	99.96	100.00	2796	2796	1	2796	219514	216719	5038.00	2796	c30d84eb01565c442cbea06994c3df30	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	tcfA	ok	100.00	100.00	1944	1944	1	1944	1241093	1243036	3507.00	1944	b1b993ebb886152c48b7223b5baf76d3	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	vag8	ok	100.00	100.00	2748	2748	1	2748	2408658	2405911	4956.00	2748	80797efcc4cedb4edc35a4be5005ccda	
/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307685.1.fasta	bapC	ok	100.00	100.00	2987	2987	1	2987	2329366	2332352	5387.00	2987	f82a4e3b3615dde67ca1ea91b590a21f	
